iter	Passed	Remaining
0	106	53033
1	137	34131
2	170	28288
3	199	24757
4	227	22507
5	259	21406
6	287	20221
7	312	19243
8	341	18609
9	370	18141
10	408	18154
11	439	17859
12	462	17332
13	490	17034
14	515	16654
15	541	16390
16	566	16093
17	591	15831
18	616	15611
19	642	15412
20	667	15229
21	696	15122
22	726	15063
23	755	14982
24	781	14844
25	807	14719
26	833	14596
27	859	14496
28	896	14568
29	923	14467
30	951	14400
31	978	14305
32	1002	14192
33	1025	14057
34	1051	13975
35	1080	13932
36	1104	13825
37	1130	13738
38	1155	13653
39	1180	13577
40	1203	13477
41	1227	13381
42	1252	13313
43	1279	13263
44	1314	13286
45	1339	13224
46	1372	13225
47	1398	13171
48	1428	13146
49	1452	13076
50	1480	13029
51	1504	12962
52	1530	12909
53	1563	12910
54	1595	12911
55	1626	12892
56	1653	12848
57	1679	12796
58	1709	12776
59	1737	12742
60	1776	12782
61	1811	12795
62	1838	12754
63	1873	12762
64	1902	12733
65	1927	12672
66	1958	12659
67	1986	12618
68	2023	12641
69	2067	12698
70	2115	12779
71	2170	12903
72	2204	12894
73	2236	12875
74	2272	12879
75	2304	12855
76	2336	12834
77	2361	12778
78	2388	12730
79	2413	12669
80	2441	12626
81	2467	12578
82	2502	12574
83	2525	12508
84	2549	12449
85	2575	12398
86	2596	12324
87	2621	12271
88	2646	12223
89	2667	12150
90	2690	12090
91	2711	12025
92	2740	11993
93	2765	11943
94	2792	11903
95	2815	11850
96	2842	11811
97	2878	11807
98	2899	11742
99	2926	11707
100	2949	11652
101	2978	11622
102	3000	11565
103	3021	11506
104	3043	11450
105	3065	11393
106	3088	11344
107	3113	11299
108	3138	11257
109	3228	11447
110	3249	11387
111	3274	11343
112	3300	11303
113	3322	11250
114	3348	11211
115	3379	11188
116	3409	11160
117	3435	11121
118	3457	11071
119	3482	11026
120	3507	10987
121	3536	10956
122	3564	10925
123	3595	10901
124	3621	10863
125	3646	10823
126	3677	10800
127	3700	10753
128	3732	10734
129	3764	10715
130	3786	10664
131	3814	10633
132	3837	10589
133	3862	10551
134	3885	10506
135	3907	10459
136	3929	10412
137	3951	10366
138	3973	10319
139	3999	10285
140	4023	10245
141	4047	10203
142	4071	10163
143	4094	10122
144	4118	10083
145	4141	10040
146	4169	10011
147	4196	9979
148	4229	9963
149	4257	9933
150	4286	9907
151	4308	9863
152	4332	9825
153	4356	9787
154	4381	9751
155	4407	9719
156	4431	9680
157	4451	9635
158	4474	9595
159	4493	9549
160	4517	9512
161	4543	9479
162	4564	9437
163	4587	9398
164	4610	9360
165	4638	9332
166	4662	9296
167	4688	9265
168	4716	9238
169	4743	9207
170	4767	9172
171	4788	9132
172	4809	9090
173	4831	9051
174	4857	9021
175	4885	8994
176	4911	8962
177	4939	8935
178	4967	8908
179	4991	8874
180	5015	8839
181	5048	8821
182	5082	8804
183	5110	8776
184	5133	8740
185	5159	8709
186	5185	8680
187	5213	8652
188	5239	8621
189	5258	8579
190	5283	8547
191	5307	8514
192	5331	8480
193	5353	8444
194	5373	8404
195	5390	8360
196	5408	8319
197	5429	8280
198	5451	8245
199	5474	8211
200	5496	8176
201	5517	8140
202	5538	8103
203	5557	8063
204	5579	8028
205	5604	7998
206	5623	7960
207	5646	7926
208	5667	7890
209	5685	7851
210	5704	7813
211	5726	7779
212	5750	7748
213	5770	7712
214	5789	7674
215	5812	7642
216	5831	7605
217	5854	7573
218	5874	7537
219	5894	7501
220	5913	7465
221	5932	7428
222	5954	7396
223	5973	7360
224	5993	7325
225	6013	7290
226	6031	7253
227	6052	7220
228	6076	7190
229	6096	7156
230	6115	7121
231	6140	7093
232	6160	7059
233	6182	7027
234	6202	6994
235	6223	6961
236	6244	6929
237	6264	6896
238	6283	6861
239	6301	6826
240	6320	6792
241	6375	6797
242	6396	6764
243	6417	6733
244	6437	6700
245	6457	6667
246	6477	6634
247	6496	6600
248	6518	6570
249	6537	6537
250	6556	6503
251	6576	6471
252	6594	6437
253	6612	6403
254	6631	6371
255	6650	6338
256	6669	6306
257	6687	6273
258	6708	6242
259	6727	6210
260	6747	6178
261	6765	6146
262	6784	6113
263	6802	6081
264	6822	6050
265	6842	6019
266	6863	5989
267	6881	5957
268	6900	5925
269	6919	5894
270	6937	5862
271	6956	5831
272	6974	5799
273	6993	5768
274	7011	5736
275	7029	5705
276	7048	5674
277	7067	5644
278	7091	5617
279	7110	5586
280	7129	5556
281	7149	5526
282	7168	5497
283	7191	5469
284	7211	5440
285	7228	5408
286	7247	5379
287	7266	5348
288	7285	5319
289	7305	5290
290	7325	5261
291	7344	5231
292	7362	5201
293	7381	5171
294	7401	5143
295	7421	5114
296	7440	5085
297	7459	5056
298	7477	5026
299	7496	4997
300	7515	4968
301	7535	4940
302	7555	4912
303	7573	4883
304	7594	4855
305	7614	4827
306	7633	4798
307	7653	4770
308	7672	4742
309	7690	4713
310	7710	4685
311	7731	4658
312	7749	4630
313	7768	4601
314	7787	4573
315	7806	4545
316	7826	4518
317	7845	4490
318	7864	4462
319	7883	4434
320	7902	4406
321	7922	4379
322	7940	4351
323	7959	4323
324	7978	4295
325	7996	4268
326	8015	4240
327	8035	4213
