Test Name,Duration(s),Total Requests,Successful,Failed,Success Rate(%),RPS,Min(ms),Avg(ms),P50(ms),P95(ms),P99(ms),Max(ms)
Baseline Latency,0.18,19,0,19,0.0,105.40,1.2,9.4,1.7,134.4,134.4,134.4
Throughput (50 requests),0.10,50,0,50,0.0,509.50,1.1,1.9,1.5,4.7,6.7,6.7
Concurrency (n=1),0.00,1,0,1,0.0,304.38,3.1,3.1,3.1,3.1,3.1,3.1
Concurrency (n=5),0.01,5,0,5,0.0,366.68,4.8,9.2,9.3,12.5,12.5,12.5
Concurrency (n=10),0.04,10,0,10,0.0,239.39,15.0,31.4,33.2,38.2,38.2,38.2
Concurrency (n=20),0.03,20,0,20,0.0,739.71,6.0,10.3,10.3,14.9,14.9,14.9
Concurrency (n=50),0.04,50,0,50,0.0,1158.73,3.6,11.7,11.5,20.4,21.7,21.7
"Load (10 users, 30s)",30.02,83071,0,83071,0.0,2766.94,0.6,3.6,2.4,6.9,16.0,444.2
Stress Test (max=100),0.00,10,0,10,0.0,0.00,13.5,15.9,15.5,19.9,19.9,19.9
Spike Test,0.00,60,0,60,0.0,0.00,2.4,9.4,9.1,17.4,18.7,18.7
Flask Direct (20 requests),457.81,20,14,6,70.0,0.04,9153.2,22889.0,19866.8,35067.7,35067.7,35067.7
