Test,Duration(s),Total,OK,Fail,Success%,RPS,Min(ms),Avg(ms),P50(ms),P95(ms),P99(ms),Max(ms)
Baseline Latency,336.88,19,14,5,73.7,0.06,5938.5,17730.1,13466.8,35012.6,35012.6,35012.6
Throughput (50 requests),1055.26,50,35,15,70.0,0.05,5330.0,21104.9,17879.1,35007.2,35026.7,35026.7
Concurrency (n=1),35.03,1,0,1,0.0,0.03,35008.5,35008.5,35008.5,35008.5,35008.5,35008.5
Concurrency (n=5),35.01,5,2,3,40.0,0.14,15361.4,27591.2,35004.9,35005.4,35005.4,35005.4
Concurrency (n=10),35.01,10,4,6,40.0,0.29,13051.2,28714.1,35004.7,35008.8,35008.8,35008.8
Concurrency (n=20),35.02,20,3,17,15.0,0.57,13587.9,32424.8,35007.0,35012.0,35012.0,35012.0
Concurrency (n=50),35.13,50,3,47,6.0,1.42,31400.3,34872.5,35005.6,35111.7,35115.1,35115.1
"Load (10 users, 30s)",35.54,10,0,10,0.0,0.28,35511.2,35512.8,35511.9,35521.7,35521.7,35521.7
Stress (max=100),0.00,10,0,10,0.0,0.00,35004.4,35006.7,35006.5,35008.9,35008.9,35008.9
Spike Test,0.00,60,3,57,5.0,0.00,27640.5,34667.3,35007.3,35011.1,35011.7,35011.7
