iter	Passed	Remaining
0	20	41836
1	34	33973
2	46	30851
3	59	29598
4	72	28965
5	85	28305
6	98	28063
7	112	27937
8	124	27631
9	137	27426
10	152	27640
11	165	27448
12	178	27297
13	191	27169
14	203	26983
15	216	26866
16	229	26791
17	241	26640
18	254	26521
19	266	26389
20	279	26305
21	292	26285
22	305	26227
23	318	26235
24	331	26176
25	344	26160
26	357	26101
27	370	26087
28	383	26075
29	396	26056
30	409	26039
31	422	26001
32	435	25944
33	448	25910
34	461	25886
35	473	25844
36	486	25828
37	498	25754
38	511	25706
39	524	25684
40	536	25656
41	549	25636
42	562	25599
43	576	25612
44	588	25583
45	601	25564
46	614	25551
47	627	25529
48	641	25527
49	653	25485
50	666	25488
51	680	25473
52	691	25401
53	704	25390
54	717	25381
55	731	25381
56	744	25364
57	756	25338
58	768	25298
59	782	25291
60	794	25264
61	807	25241
62	819	25204
63	832	25175
64	844	25144
65	856	25111
66	869	25082
67	882	25060
68	895	25049
69	908	25042
70	922	25068
71	935	25049
72	947	25023
73	960	24994
74	972	24968
75	985	24948
76	997	24917
77	1010	24896
78	1022	24871
79	1034	24835
80	1047	24807
81	1059	24782
82	1071	24749
83	1083	24711
84	1096	24693
85	1108	24660
86	1120	24630
87	1132	24609
88	1145	24589
89	1157	24572
90	1170	24558
91	1183	24536
92	1196	24526
93	1208	24500
94	1220	24478
95	1232	24449
96	1246	24448
97	1258	24418
98	1270	24386
99	1282	24361
100	1294	24330
101	1306	24315
102	1318	24277
103	1331	24272
104	1344	24257
105	1356	24232
106	1369	24236
107	1382	24225
108	1394	24184
109	1406	24159
110	1418	24139
111	1431	24130
112	1444	24113
113	1456	24095
114	1468	24072
115	1481	24060
116	1495	24063
117	1507	24040
118	1520	24032
119	1531	23997
120	1542	23960
121	1554	23927
122	1566	23908
123	1577	23872
124	1589	23840
125	1601	23826
126	1614	23804
127	1626	23794
128	1639	23773
129	1651	23749
130	1663	23738
131	1677	23735
132	1689	23722
133	1702	23708
134	1714	23689
135	1726	23666
136	1739	23648
137	1750	23621
138	1763	23604
139	1774	23581
140	1787	23566
141	1800	23554
142	1811	23521
143	1822	23490
144	1834	23471
145	1846	23443
146	1858	23429
147	1870	23405
148	1883	23392
149	1895	23377
150	1906	23348
151	1919	23332
152	1931	23317
153	1945	23319
154	1957	23303
155	1968	23272
156	1980	23251
157	1993	23236
158	2005	23218
159	2017	23201
160	2029	23177
161	2041	23163
162	2052	23134
163	2065	23122
164	2077	23102
165	2090	23092
166	2101	23071
167	2113	23050
168	2125	23032
169	2138	23024
170	2150	23000
171	2162	22978
172	2173	22957
173	2186	22945
174	2198	22924
175	2209	22899
176	2222	22885
177	2234	22876
178	2246	22852
179	2257	22828
180	2270	22814
181	2282	22804
182	2294	22784
183	2304	22748
184	2316	22731
185	2329	22718
186	2342	22706
187	2355	22700
188	2365	22670
189	2378	22657
190	2390	22643
191	2403	22631
192	2414	22609
193	2426	22590
194	2438	22575
195	2450	22551
196	2462	22539
197	2475	22525
198	2487	22514
199	2500	22507
200	2511	22480
201	2523	22464
202	2536	22453
203	2549	22441
204	2561	22430
205	2573	22411
206	2586	22405
207	2597	22380
208	2609	22362
209	2620	22340
210	2633	22327
211	2645	22307
212	2655	22282
213	2667	22264
214	2678	22235
215	2689	22209
216	2702	22205
217	2714	22188
218	2726	22170
219	2738	22159
220	2748	22128
221	2761	22113
222	2772	22095
223	2783	22069
224	2796	22061
225	2808	22046
226	2821	22037
227	2833	22021
228	2845	22005
229	2857	21993
230	2870	21985
231	2883	21974
232	2894	21949
233	2906	21938
234	2917	21913
235	2929	21894
236	2940	21872
237	2953	21862
238	2964	21843
239	2976	21828
240	2986	21798
241	2998	21784
242	3010	21769
243	3021	21743
244	3033	21730
245	3045	21712
246	3056	21695
247	3067	21672
248	3080	21662
249	3092	21646
250	3103	21627
251	3114	21602
252	3124	21578
253	3136	21563
254	3147	21539
255	3160	21532
256	3172	21518
257	3184	21503
258	3196	21484
259	3207	21467
260	3220	21455
261	3233	21446
262	3243	21423
263	3254	21403
264	3267	21390
265	3278	21374
266	3291	21363
267	3303	21352
268	3315	21334
269	3327	21320
270	3340	21313
271	3353	21301
272	3365	21287
273	3377	21275
274	3388	21253
275	3400	21238
276	3410	21212
277	3422	21196
278	3434	21184
279	3446	21170
280	3458	21157
281	3471	21149
282	3482	21129
283	3495	21118
284	3506	21101
285	3517	21082
286	3528	21060
287	3540	21048
288	3552	21033
289	3565	21026
290	3577	21011
291	3589	20998
292	3600	20979
293	3612	20961
294	3624	20949
295	3635	20930
296	3647	20915
297	3658	20897
298	3671	20885
299	3682	20869
300	3695	20858
301	3707	20846
302	3719	20829
303	3732	20823
304	3743	20803
305	3754	20784
306	3766	20772
307	3778	20757
308	3789	20736
309	3800	20717
310	3811	20701
311	3823	20687
312	3834	20668
313	3845	20650
314	3857	20632
315	3869	20620
316	3881	20605
317	3893	20595
318	3906	20584
319	3916	20562
320	3928	20545
321	3938	20524
322	3950	20509
323	3962	20496
324	3974	20484
325	3989	20488
326	4008	20506
327	4026	20524
328	4039	20515
329	4050	20497
330	4061	20477
331	4073	20464
332	4084	20447
333	4098	20441
334	4109	20425
335	4122	20418
336	4135	20405
337	4146	20390
338	4157	20371
339	4168	20353
340	4180	20338
341	4193	20328
342	4203	20307
343	4215	20291
344	4225	20272
345	4239	20265
346	4249	20244
347	4262	20234
348	4273	20215
349	4282	20190
350	4293	20169
351	4304	20153
352	4316	20138
353	4327	20122
354	4338	20104
355	4350	20091
356	4361	20073
357	4372	20057
358	4385	20045
359	4396	20027
360	4406	20005
361	4419	19996
362	4430	19979
363	4443	19969
364	4454	19951
365	4464	19930
366	4475	19915
367	4487	19901
368	4498	19883
369	4510	19869
370	4522	19858
371	4534	19844
372	4545	19828
373	4556	19811
374	4567	19793
375	4579	19779
376	4591	19764
377	4602	19750
378	4615	19739
379	4626	19725
380	4639	19716
381	4650	19697
382	4661	19678
383	4671	19661
384	4685	19654
385	4698	19644
386	4709	19628
387	4722	19618
388	4735	19610
389	4746	19594
390	4757	19578
391	4768	19559
392	4777	19535
393	4788	19519
394	4800	19506
395	4810	19484
396	4823	19476
397	4835	19462
398	4847	19449
399	4858	19435
400	4869	19416
401	4881	19404
402	4892	19387
403	4904	19376
404	4916	19362
405	4927	19345
406	4939	19331
407	4950	19318
408	4960	19294
409	4971	19280
410	4981	19259
411	4992	19243
412	5005	19233
413	5019	19229
414	5030	19213
415	5041	19197
416	5053	19182
417	5065	19171
418	5076	19153
419	5088	19140
420	5098	19123
421	5111	19115
422	5122	19097
423	5134	19085
424	5145	19069
425	5157	19056
426	5169	19044
427	5181	19032
428	5193	19017
429	5204	19001
430	5215	18985
431	5227	18972
432	5240	18965
433	5251	18947
434	5261	18928
435	5274	18918
436	5285	18903
437	5296	18888
438	5307	18873
439	5320	18863
440	5332	18850
441	5342	18833
442	5354	18819
443	5364	18800
444	5374	18781
445	5385	18764
446	5396	18748
447	5407	18733
448	5419	18721
449	5430	18703
450	5442	18691
451	5452	18673
452	5465	18663
453	5477	18651
454	5488	18638
455	5499	18621
456	5510	18606
457	5520	18586
458	5531	18569
459	5542	18554
460	5554	18541
461	5566	18531
462	5579	18521
